,Company,Location,# Laid Off,Date,Source,$ Raised (mm),%,List of Employees Laid Off
628,Glossier,['New York City'],150.0,2020-08-07T00:00:00.000Z,https://www.glossier.com/blog/retail-update-covid19,186.4,0.38,
633,Procore,['Los Angeles'],180.0,2020-07-28T00:00:00.000Z,https://www.bloomberg.com/news/articles/2020-07-28/software-startup-procore-said-to-cut-180-jobs-ahead-of-ipo,649.0,0.09,
635,LinkedIn,['SF Bay Area'],960.0,2020-07-21T00:00:00.000Z,https://layoffs.fyi/2020/08/04/linkedin-launches-official-talent-directory-after-laying-off-960-employees/,154.0,0.06,
648,Katerra,['SF Bay Area'],400.0,2020-06-29T00:00:00.000Z,https://www.theinformation.com/articles/softbank-backed-katerra-lays-off-more-than-400-employees,1300.0,0.07,
654,GoDaddy,['Austin'],451.0,2020-06-24T00:00:00.000Z,https://domainnamewire.com/2020/06/24/godaddy-plans-layoffs-and-is-closing-austin-offices/,,0.06,
655,Sonos,['New York City'],174.0,2020-06-24T00:00:00.000Z,https://www.cnbc.com/2020/06/24/sonos-says-its-cutting-12percent-of-global-employees-because-of-covid-19.html,455.2,0.12,
659,Intuit,['SF Bay Area'],715.0,2020-06-22T00:00:00.000Z,https://intuitblog.com/news-social/a-message-from-intuit-ceo-sasan-goodarzi-to-intuit-employees/,18.0,0.07,
680,Stitch Fix,['SF Bay Area'],1400.0,2020-06-01T00:00:00.000Z,https://www.cnbc.com/2020/06/01/stitch-fix-is-laying-off-1400-in-california-18percent-of-workforce.html,79.0,0.18,
684,TrueCar,['Los Angeles'],219.0,2020-05-28T00:00:00.000Z,https://labusinessjournal.com/news/2020/jun/01/truecar-lays-30-staff/,340.0,0.3,
685,StubHub,['SF Bay Area'],200.0,2020-05-28T00:00:00.000Z,https://layoffs.fyi/2020/06/22/stubhub-shifts-200-of-its-furloughed-employees-into-permanent-layoffs-2/,19.0,,
687,Instructure,['Salt Lake City'],150.0,2020-05-27T00:00:00.000Z,https://philonedtech.com/instructure-restructure-significant-layoffs-hitting-canvas-side-of-the-business/,89.0,0.12,
688,Uber,['Bengaluru'],600.0,2020-05-26T00:00:00.000Z,https://www.reuters.com/article/us-india-uber-layoffs/uber-cuts-600-jobs-in-india-as-lockdown-hits-business-idUSKBN2320S3,24700.0,0.23,
689,Bluprint,['Denver'],137.0,2020-05-26T00:00:00.000Z,https://businessden.com/2020/05/27/nbcuniversal-shutting-down-bluprint-formerly-known-as-craftsy/,108.0,1.0,
691,Cvent,['Washington D.C.'],400.0,2020-05-21T00:00:00.000Z,https://www.eventmanagerblog.com/cvent-layoffs,146.0,0.1,
693,Samsara,['SF Bay Area'],300.0,2020-05-20T00:00:00.000Z,https://layoffs.fyi/2020/05/21/samsara-lays-off-300-employees-launches-public-alumni-directory/,530.0,0.18,
694,Stay Alfred,['Spokane'],221.0,2020-05-20T00:00:00.000Z,https://www.spokanejournal.com/local-news/stay-alfred-closes-its-doors-permanently/,62.0,1.0,
695,SoFi,['SF Bay Area'],112.0,2020-05-20T00:00:00.000Z,https://www.businessinsider.com/sofi-cut-7-percent-staff-quarterely-performance-reviews-2020-5,2500.0,0.07,
698,Uber,['SF Bay Area'],3000.0,2020-05-18T00:00:00.000Z,https://layoffs.fyi/2020/05/18/uber-lays-off-3000-more-employees-on-top-of-the-3700-laid-off-earlier-this-month/,24700.0,0.13,
704,Cruise,['SF Bay Area'],150.0,2020-05-14T00:00:00.000Z,https://www.theverge.com/2020/5/14/21259001/cruise-gm-layoff-self-driving-unit-recruiting-product-design,5300.0,0.08,
711,Deliv,['SF Bay Area'],669.0,2020-05-13T00:00:00.000Z,https://www.mercurynews.com/2020/05/15/ccalifornia-unemployment-layoff-rock-delivery-startup-ymca-uber-ross-ui-edd-tech-job-economy/,80.0,1.0,
723,Jump,['New York City'],500.0,2020-05-07T00:00:00.000Z,https://www.nytimes.com/2020/05/07/technology/the-results-are-in-for-the-sharing-economy-they-are-ugly.html,11.0,1.0,
724,Glassdoor,['SF Bay Area'],300.0,2020-05-07T00:00:00.000Z,https://www.businessinsider.com/glassdoor-lays-off-300-30-staff-due-to-covid-19-2020-5,204.0,0.3,
